artist_id,artist_name,artist_popularity,artist_genres,artist_followers
3TVXtAsR1Inumwj472S9r4,Drake,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",75185366
5N3AyFVEE8vJa7AZEl7nD3,Conjunto Rienda Real,65,['sad sierreno'],63080
4LLpKhyESsyAXpc4laK94U,Mac Miller,84,"['hip hop', 'pittsburgh rap', 'rap']",8968108
6n28c9qs9hNGriNa72b26u,PNAU,74,"['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']",210462
3JsHnjpbhX4SnySpvpa9DK,V,68,"['j-division', 'korean ost']",13109731
3VHAySZQPlfGlNLslzXYpN,NATHY PELUSO,67,"['r&b en espanol', 'rap latina']",1030722
4ejCEsiLoioHxdLmYNvIAY,Jacob Richmond,39,[],1083
2cWZOOzeOm4WmBJRnD5R7I,Normani,68,"['pop', 'r&b']",2391240
2YFBOR9KIxC6WqHclkj9Yq,Keke Palmer,53,"['pop r&b', 'post-teen pop', 'r&b']",654611
6UuT0BJZ9vF8Y1sxXnJl2s,Bounty Killer,51,"['dancehall', 'jamaican hip hop', 'reggae fusion']",224691
36CUTsdtNgCwMq6zKD1l8I,Mauro Castillo,59,"['modern salsa', 'movie tunes', 'salsa colombiana']",33365
67ZcPnEGiAlCx2O3sQarWV,Alexandra Kay,53,['modern country pop'],150693
6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,73,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'rap', 'underground hip hop']",2315739
4uhtwfPIUNW1qmL13rzZmF,Christian Camilo Peña,25,[],49
21WS9wngs9AqFckK7yYJPM,PnB Rock,69,"['melodic rap', 'rap', 'trap']",3826240
6AcOTCYBMvjKYy4zms0kaC,Banda El Recodo,72,"['banda', 'banda sinaloense', 'musica mexicana', 'norteno']",3462703
60NNvDqsif0u40CXMV6jDQ,Ryan Beatty,54,['bedroom soul'],134989
72kqSqk124Vnl1wtT6q9Fh,Adassa,59,['movie tunes'],6557
5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,66,"['dirty south rap', 'philly rap', 'southern hip hop', 'trap']",1431914
2FRfJyV85zb19tO6uiXBGl,sped up + slowed,70,['sped up'],6730
28ExwzUQsvgJooOI0X1mr3,Jay Rock,73,"['conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",1399807
