track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,210560
4qu63nuBpdn0qHUHuObEj1,0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983
0k4d5YPDr1r7FX77VdqWez,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173
3jHBgKdLCf46aP3HRI0WYv,0.68,0.696,-6.977,0.051,0.116,0.0,0.607,0.684,115.962,180743
5lAnYvAIkSDNXqfo7DyFUm,0.855,0.488,-4.601,0.208,0.506,0.0,0.347,0.619,124.097,174253
3DarAbFujv6eYNliUTyqtz,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667
0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,-6.334,0.116,0.198,0.0,0.0614,0.699,163.929,173160
6f5ExP43esnvdKPddwKXJH,0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657
2JPLbjOn0wPCngEot2STUS,0.644,0.648,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,206710
3J8EOeKLTLXORtWPpOU5bE,0.907,0.393,-7.636,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458
1PDP7mLiAMwhfmgIwzhOm2,0.476,0.161,-11.665,0.0407,0.967,0.0381,0.109,0.0908,119.614,133763
2ZXxRC6V6AXzMdbLQZMHSB,0.704,0.537,-8.565,0.302,0.223,0.0,0.122,0.7,77.444,123871
0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605
4VHkjPgAis9JNfc1URn7zZ,0.73,0.643,-7.811,0.0984,8.47e-05,0.0,0.203,0.492,141.961,186018
567e29TDzLwZwfDuEpGTwo,0.591,0.764,-5.484,0.0483,0.0383,0.0,0.103,0.478,169.928,141806
3zwMVvkBe2qIKDObWgXw4N,0.581,0.619,-6.524,0.0282,0.769,0.000106,0.117,0.645,137.915,245027
6G2xXQRSZlEzYsUEb3uvuR,0.405,0.565,-9.266,0.0372,0.38,0.0195,0.107,0.166,159.892,214149
4NgherJDfCXWBZBYheM4jK,0.627,0.123,-14.411,0.0316,0.859,0.00105,0.149,0.11,131.883,120429
42lqBjPYlmL1EXpMDXvhSN,0.658,0.538,-7.676,0.0289,0.657,0.0,0.123,0.62,136.967,161773
02VBYrHfVwfEWXk5DXyf0T,0.586,0.616,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088,242096
7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,-5.453,0.329,0.00575,0.0,0.231,0.144,134.14,252070
4aSRUXfKuBbmje0eXNukuL,0.516,0.752,-5.09,0.0333,0.00528,3.78e-05,0.251,0.482,105.007,171880
0W6I02J9xcqK8MtSeosEXb,0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293
5W8jRrZ6tWrTrqnKRtIQBf,0.861,0.656,-7.867,0.425,0.104,0.0,0.0986,0.331,88.967,218210
6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735
5FQPpxOXsvkMN6v18gtpwY,0.74,0.517,-6.233,0.0506,0.0183,0.0,0.0558,0.698,139.917,170858
751srcHf5tUqcEa9pRCQwP,0.423,0.913,-5.354,0.0655,6.53e-05,0.0,0.269,0.596,146.995,191823
2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,-9.72,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933
5RBOcBpJXaNnHCGViJmYhh,0.485,0.89,-5.992,0.0911,0.000872,0.818,0.102,0.258,128.881,194423
5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120
