track_id,track_name,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_popularity
46qu0FUc4Dnbf8hXMQdXws,Flyer! (feat. 小豆沢こはね&白石杏&東雲彰人&青柳冬弥&鏡音レン),216627,0.538,0.921,-3.037,0.078,0.133,0.0,0.0752,0.856,188.025,51
4sJzl2Ylmct0l2C79o1ZTa,otorii INNOVATED -i3-,140573,0.368,0.751,-8.509,0.0342,1.33e-05,0.903,0.0948,0.193,105.047,16
3wAecGFYBMttXthxQZBxRx,As One,143076,0.568,0.791,-10.286,0.0506,0.000842,0.000299,0.279,0.598,149.923,9
0y912XgQjCVSLcSEibofp4,サンダーライン,218152,0.546,0.912,-3.782,0.0614,0.0305,0.0,0.344,0.766,184.011,5
2mr7zu1q3pLajCOe2RMiC1,連れ去って・閉じ込めて・好きにして,256987,0.427,0.43,-6.933,0.0265,0.465,6.12e-05,0.111,0.173,95.676,12
4P0f1HTaA2UwtLJGryNgJZ,ビバハピ,215840,0.61,0.989,-2.877,0.0831,0.0206,0.000157,0.655,0.77,147.991,49
2DYupgAcdomatly7Lhw8zv,フィクサー,247111,0.656,0.918,-4.051,0.089,0.167,1.97e-06,0.333,0.689,134.962,50
0t0fzYemlNy3ZYC5X1T5YH,taboo tears you up,218291,0.519,0.974,-4.99,0.0574,0.00062,0.226,0.107,0.259,180.021,15
2mhKhmIKYbR6rcZ6Ee6jXC,p.h.,151989,0.764,0.887,-4.674,0.089,0.0709,0.377,0.0813,0.964,132.036,46
6tly7ZHEJdx8eNHrvHlxGA,テリトリーバトル,150592,0.547,0.954,-2.943,0.0479,0.00804,0.0,0.136,0.826,140.023,34
5gccSY8i0iLKJkdEqetj3M,Operation Neverland,280147,0.382,0.931,-7.343,0.124,0.00689,0.0173,0.342,0.545,165.961,2
6NuIyda46dxTqZUFX6yOXd,Super Kitsch Mode,159769,0.653,0.781,-9.801,0.0605,0.00519,0.118,0.312,0.618,173.951,3
3XpDgJ2DDGOBjQ5pwPX6xX,チエルカ/エソテリカ,144880,0.556,0.869,-6.259,0.109,0.000347,0.00396,0.052,0.758,102.571,32
47bVeRKRJ7ey3G2czIfct9,Storia,253333,0.459,0.909,-4.721,0.0363,0.001,0.878,0.119,0.352,90.026,31
0nW1Aes1arNyR1fzEKXS2m,シル・ヴ・プレジデント,190493,0.647,0.9,-2.383,0.113,0.0237,0.0225,0.314,0.746,175.926,56
4NFwRRxKYVm7URM0oBhOdZ,神のまにまに,258560,0.702,0.927,-2.582,0.0385,0.193,3.41e-06,0.364,0.684,131.987,44
6BWMagsCayJHrMApCnYG8d,群青讃歌,275500,0.528,0.918,-3.496,0.0582,0.0748,0.0,0.0942,0.405,167.971,25
1xfPXJeJX2NOsdJGtbgJKH,虚ろを扇ぐ,207581,0.727,0.685,-4.768,0.0371,0.305,0.0,0.215,0.79,123.973,38
3PhcRbp5kA9n8qjirDwcNF,Nitrous Fury,116627,0.412,0.936,-6.505,0.0613,1.45e-06,0.875,0.0403,0.539,144.048,3
