track_id,track_name,track_popularity,album_id
1fXiYSWmkKJfRKMegCkI11,I Will Wait,71,3FfuUD3Je9t9tQq80Zq41y
25cUhiAod71TIQSNicOaW3,Adorn,71,21XMv0TCsnhWPt7MNVvkzD
6IbnUaczZBT34DhaD6S18F,Bubblegum Bitch,79,49kf7gWWtReFwPcCNsvyUf
6t6oULCRS6hnI7rm0h5gwl,Some Nights,72,7iycyHwOW2plljYIK6I1Zo
6FB3v4YcR57y4tXFcdxI1E,I Knew You Were Trouble.,80,4jTYApZPMapg56gRycOn0D
4esOae7i4rqTbAu9o5Pxco,Girl on Fire,80,3zZSz5VOYSu0jE4MkPCOvN
2oHM9KAdFdFvDCaE4V6RST,Hate Bein' Sober,75,2B4y3j02ho6XNF8BEzx3JF
2dBwB667LHQkLhdYlwLUZK,Summertime Sadness,71,5PW8nAtvf2HV8RYZFd4IrX
1kPpge9JDLpcj15qgrPbYX,Good Time,80,7gTFf2EWBONpjKVjpWbs5p
0LtOwyZoSNZKJWHqjzADpW,Feels Like We Only Go Backwards,77,3C2MFZ2iHotUQOSBzdSvM7
6E9V9TRlVOLjenGjHemzEH,Hard To Love,71,0RnVSSUbSBEjk5MlQZhYYP
712uvW1Vezq8WpQi38v2L9,"Bitch, Don’t Kill My Vibe",70,3DGQ1iZ9XKUQxAUWjfC34w
1EAgPzRbK9YmdOESSMUm6P,Home,73,0zIb6xazDd72sVT8OtPX3E
3aGibUHhQyBsyumYHylw0K,Backseat Freestyle,70,3DGQ1iZ9XKUQxAUWjfC34w
6KuHjfXHkfnIjdmcIvt9r0,On Top Of The World,71,1rzDtYMpZDhRgKNigB467r
24jvD83UgLmrdGjhWTFslY,Video Games,72,5PW8nAtvf2HV8RYZFd4IrX
6CjtS2JZH9RkDz5UVInsa9,Thrift Shop (feat. Wanz),80,5QWHes9ODwn42DHTifGkXd
439TlnnznSiBbQbgXiBqAd,m.A.A.d city,70,6PBZN8cbwkqm1ERj2BGXJ1
4qikXelSRKvoCqFcHLB2H2,Mercy,73,0hmFRR0pDSZIAvoJqEFSKv
2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,79,7eLwoxxWs6lfkVYJGkGNbk
3bC1ahPIYt1btJzSSEyyrF,Whistle,80,7eLwoxxWs6lfkVYJGkGNbk
6Ymvlzom4TQeoKqAWsZRD8,Somethin' 'Bout A Truck,71,191BU6Uvnf7oNTjO4n36Yu
3LGsgpx4TfxhXbr07OFKqs,Oblivion,68,3HED2IUaNSnbOe88a7ZdwM
23UoI3jlFiWdo5jadUYo69,Bulls In The Bronx,71,661Hz0qJK8WIp7vAWsqKvk
6BFnRhvKCclDQOajt8dBGi,Diet Mountain Dew,71,0Dt3FbpMQwjoT5KNAw0IXR
3XCveEutwTaDiekRkkfdp9,Liquid Smooth,75,22MICAVuz34zzqm4Se5Lga
6BtmXhTJMM9sBTHeYYASGz,It's Time,69,6htgf3qv7vGcsdxLCDxKp8
2cDCojn6uIBM6A5xTAbl3H,m.A.A.d city,69,3DGQ1iZ9XKUQxAUWjfC34w
0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,78,4jTYApZPMapg56gRycOn0D
6QFCMUUq1T2Vf5sFUXcuQ7,Beauty And A Beat,76,5cxMa6oLINJzmZ8lF7wWQN
4HuiEuJ7ZW8jewUuZBg6sk,Sarah,69,1i8WVUZhMVNurF8rmlMeSH
0srwKuJPH8yBzzFUJMBQM2,Rack City,68,3KHamR7LZmFT0xqPA1Hyob
3EKh7JNsBrGoh2xqPotBKT,Hell Above,71,661Hz0qJK8WIp7vAWsqKvk
1dEy9Pl81QopSxNsPxXQxv,Stay,69,4eddbruVtOqw8khwxSH6H2
5lcyIeEfwZTs8Ajw3kdF7P,Crack Rock,71,392p3shh2jkxUxY2VHvlH8
3VCXx37jNGNOMns6z2OnvJ,Swing Lynn,76,6KXHP4v4hYN887RGeQwc8b
2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,77,24TAupSNVWSAHL0R7n71vm
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,77,70f70xLCpH7wHaVvB2oZT9
6yARPLK0PV4heEyh7pVMGz,Part Of Me,72,4zLOhyT4XIzyyl7KoSHWcE
56sxN1yKg1dgOZXBcAHkJG,"Gone, Gone, Gone",75,0zIb6xazDd72sVT8OtPX3E
6XD3HMATLswheYevIfKkSi,All Over The Road,68,48vOVvwuTXRNdiaW8NpAJ3
4P6BuLsqtg5uISdE77ypI9,Ayy Ladies (feat. Tyga),69,7co2UrRxl2TBgj3BCXIvnC
53QF56cjZA9RTuuMZDrSA6,I Won't Give Up,71,64SChsjQBiEe3aVTFYnW1b
5T6DM9qjjngWnukcw0svkX,Round Here,67,5MH765pytbQasmDxXArTah
6VObnIkLVruX4UVyxWhlqm,Skyfall,80,6TwN6Lq9glwnG8kNp6chHY
2WKCH4ISejDV9ad7iPp5XU,5-1-5-0,68,4WYx3Z81yhA09dBIAktauv
6s8nHXTJVqFjXE4yVZPDHR,Troublemaker (feat. Flo Rida),76,5kU9rWhYr4MmPmaGYP5z4v
0cITLOYn1Sv4q27zZPqlNK,Red,67,1EoDsNmgTLtmwe1BDAVxV5
7dFGkZbmm6cVlI28bfMaWE,Righteous Minds,72,5ra51AaWF3iVebyhlZ1aqq
4sOX1nhpKwFWPvoMMExi3q,Primadonna,74,49kf7gWWtReFwPcCNsvyUf
5PX4uS1LqlWEPL69phPVQQ,Pursuit Of Happiness - Extended Steve Aoki Remix,76,38MFjDPIDJFfLF7IVpe1rv
6tS3XVuOyu10897O3ae7bi,California Gurls,77,5BvgP623rtvlc0HDcpzquz
3gVRILe7XCyNakb6sy5umX,When She Says Baby,67,2uXHwdc2aTcUP2EhXKhPRu
6E1YebXpPPtujMUljDNlOo,Kerosene,72,1NIfkZIYVAO6vnfmFOilHc
6qZjm61s6u8Ead9sWxCDro,Elephant,74,3C2MFZ2iHotUQOSBzdSvM7
179TZwPk0txEvjkraVTVKo,El Precio De La Soledad,80,5t3QwyKSV5oww8T0eB26mB
1jF7IL57ayN4Ity3jQqGu0,Try,80,2Q9oTK48eb85waX1fFJsvj
3GhsBdS9ulPK3KCdwHRPhG,Nothing's Gonna Hurt You Baby,68,6w9osZGOS8B7XWW51SBwFT
4l1R5g85v3bUA1bSSbzg6w,How Bad Can I Be?,72,598g2DLLnd5tIJyVeizTx5
26ZzSLUJMmYp5u1hDELEWH,Transgender,71,1NIfkZIYVAO6vnfmFOilHc
