album_id,album_name,album_total_tracks,album_popularity
5Zdr9vactwnJH4Vpe9Mid9,The Chaos Chapter: FREEZE,8,74
3yKGB4IYu6MeLkhFJFn9eI,DISORDER,12,77
0RCxiP3V5WEl9LY3KS9mxP,You Said,1,61
7MJhmpSt8rHsk44vyrBQvh,Final Warning,1,64
2EhxiHgVM7Xp3zw59TuSsT,Piggypink,1,60
09h4w3F8jXAQnbYmGYktRR,killer queen,1,64
4TATXEH2tnZVTqlyURoWUR,A Mis 20,11,76
1PuZ5juin9Mpt3Tyiygzio,Reckless,10,63
1OnzqJTL9bwe4kvaLxRYxt,Kiss Me More (feat. SZA),1,72
6B26OzQRObxAp1tbf8jeTq,Something for Thee Hotties,21,72
5hxKw2PurC0i1VVJMAntDU,Wildest Dreams (Taylor's Version),1,77
7gVVCqQnGgybY3OTdkJuKY,Blockchain,13,62
6wO4VuzPpcIfh4W8AOjUPI,Big Gangsta,1,58
2MbdQUj7tAaaBBhUwJE3KG,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),1,68
6P5mONYxeYoklwHZa8VLFx,pouring outside,1,58
2JJ2v7A5nR6HaYxyO2T0PX,Weekends Look A Little Different These Days,8,66
5Zm6BtWH4CgLV83H2nWBsL,"Dany, Te Dedico Esta Canción Con Todo Mi Corazón",28,58
3myUd2MqJKr3rfUrAf41Us,Good & Plenty (Remix),1,59
5XOo1c28e4YMxp4uLh70qS,Antisocial,1,62
6bpCbQ5GTNZ9IE1nvJ0zQA,Doin' This,1,61
6PwnWA19E1JThqWMdRrj6l,Lonely (with Lil Wayne),1,59
3SF8e5ewF7PaqWw6rPnfEg,"Tu Veneno Mortal, Vol. 2",12,77
5dGWwsZ9iB2Xc3UKR0gif2,Justice,16,88
7jNlQ6ps2bh1OzROWHL08Z,Mas Que Amigos,1,60
0LmoB3rBXBGCdEDquHXKmA,Episode One,5,60
6fgSKdHloRioPrZ9oJC7FH,One Right Now,1,71
3v0EO4EsCPW8nZiqwbVVZH,Un Album Sencillo,10,70
1arPptaPtDyBisMtMBe2q6,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",1,61
4BUBmfexqfuvnaVT7ZnFiR,Life’s A Mess II (with Clever & Post Malone),1,62
51kijm0sjZz0yOa3kVBPUU,Anyone,1,66
4NTDxbwbo2rMGMm6U9UAEP,GHOST TOWN,1,70
4eZKjfeKPSwd6NYsmlKjuR,Safe & Sound (Taylor's Version),1,67
6x9s2ObPdpATZgrwxsk9c0,Red (Taylor's Version),30,76
5RongMpRt5jcdZ7gpAKtWn,DOG BOY,15,71
1Rty2CL0UZeJWeCcCiXmhg,Lost Souls,11,70
0VotmXUwQt1UHyFH4VVrvt,Project X,11,67
5vP0fNictdWyU48o83Q7ob,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",21,71
0kxA9Bc8pamypR5GYXmeti,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,11,68
0DiZ7mmFppDNbEtoRPvSGf,2055,1,61
0ccEYmcKK8UKt5zZ0lGgJ7,PLAYBOY,12,72
76f2Wq7QxiHImxzsYwiXWW,Acapulco,1,72
6mNYZNJ4a0tzSS3nPVnkO2,What We Have,6,61
5LjSnB8XhGUTQ47WAzdXJb,War,1,62
7KSf6p0G0mZd7j60etVTwT,Hall of Fame,20,79
7jeIigTciBnw9zadRsYqIC,Disaster,1,71
12zL1YZJeADPb6hPdD9Mqm,Close Eyes (Slowed + Reverb),1,67
18CtLoAMTr7F8ngtuM6D8i,Until I Found You,1,78
5c5S9cyjHKBQRm1DGU1E8J,I Quit Drinking,1,65
3dv1xXXFHlv3WNSNsSZ93d,i hope ur miserable until ur dead,1,61
2QFjS8IsDZd1sUdGZ4rnDS,Streaming Waves Vol. 1,3,62
3W2BTPUHJX51hweWPNRenv,Country Again (Side A),11,67
1XMYvsHRt52sMi6wittWqI,ELEVEN,2,71
4210mSQ3r10AsJMZEYAH5l,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",2,73
7IvJgDRcimWThDEVCGpzPB,Pop Out,1,58
4GhGSIS6nha0XoeSQHRyq8,Never Comin' Home,1,62
0A9eIFTz09ciHqCHJNYyf2,brent ii,5,68
5x8HOMCMbODsMSJtMtNXF7,Not In The Mood (feat. Fivio Foreign & Kay Flock),1,60
6DHfD3rZapWFmEKX1FNNZF,Remember,1,71
7HGjNJBj1NQGNwCzFD2LHj,STEREOTYPE,4,64
5wNvYNyHCzjuanmvzM2wC8,5 2 Üh 60 (feat. Yeat),1,57
6Aqt69riJ3JPLxIEI8EkzT,WITHOUT YOU (with Miley Cyrus),1,66
5lVImnUah94yoxXy2H1qo7,Reckless,1,74
1x55Z0fYARLdeJVjG2UESs,Up 2 Më,22,84
2jGa3OwXatFYQAIS7OV7k9,Revelación - EP,7,69
4p3WczKLm6G2DHv2NnoCFk,CASTLES II,5,72
4l9wMVL4XAM5jPMXP5RAbL,Move Your Body,1,73
2rLqUcipEjIKK9rma5OTN8,Hall of Fame 2.0,34,74
2ZdYh11KscDPsVKtxQY0ev,Wildest Dreams,11,64
25L8ck3KGcmCo3901ztPzR,Encanto (Original Motion Picture Soundtrack),44,81
6kaYDcX9dNmJE5OU71IUby,Masterpiece,1,63
1lsf7hKaOd3r214nvwmtwg,Old Church Basement,13,69
7n23fjZTviIUnHyvZGQjni,The Melodic Blue,19,73
2WFC0XUBROo4X2vxLwtB4u,late at night,1,59
72wry9m70h3pKzXODfTkou,Storm Coming,8,55
4y1qhmoZxvSyymJ1wZCtLE,The Lockdown Sessions,18,56
7eQGtkzCgrIWDOe76E9F8t,CLOUDS (THE MIXTAPE),11,75
7jMo8dhMIorHoLlzTisjJy,Rumors (feat. Cardi B),1,62
1OFfEo5jIQpvjQXD8OFcsx,Efectos Secundarios,10,79
0q6qOUfC4ikWtv62KCnoip,Sharing Locations (feat. Lil Baby & Lil Durk),1,60
0g81USzuFuid3QkYfxeMXM,ASIN9NE,17,64
1Aiov6IELpNAdCHMzbz6Ml,Ya Supérame (En Vivo),1,70
2HPj0XZe9WduSsyKTQqgVa,Every Summertime,1,71
3hi8gSzAJT4KGaJrylnccp,Wokeup,1,63
1EEKcUdS6QxuVMBFcK224N,chinatown!,1,62
7kjLKy9JLbwM9F7eDQEnd2,The Battle at Garden’s Gate,12,73
2JmfwvRDitJlTUoLCkp61z,Sob Rock,10,76
5leBUcbk6qAb5cDHYuVwBO,Super Tecmo Bo,9,65
2CjIfWoFITACUOlWGB7os5,The Chaos Chapter: FIGHT OR ESCAPE,11,71
5ffogo3K3fYibGWa93IzUe,A Gangsta’s Pain,22,74
0SrskI3mHcu5MzKeZNv2f6,Human (Deluxe),16,76
5WvmRAsjmB3uPLoFeCioC5,GOOD TIME,14,67
0R1Ygba9KBj95maQnUvZm5,Sobrio,1,73
6pOiDiuDQqrmo5DbG0ZubR,MONTERO,15,84
05QOSu1AEcQxM5jvZFuann,4L,20,76
0JeyP8r2hBxYIoxXv11XiX,Future Nostalgia (The Moonlight Edition),19,79
1gfSftIuafqkGu28ely5z6,残響散歌,1,71
6nuNgD841boUffjDiI8et4,Found (feat. Brent Faiyaz),1,63
1VKFaHoIvkZTzsSRad2jDZ,Your Heart,1,61
1xhO0GSoezdPJcSuNe1ySv,THE BOOK,9,78
58cd90Jkrovggh556JPN9L,Do It To It,1,75
1LyS8xc10xqZS5BewUxH9c,EAT SPIT! (feat. Royal & the Serpent),1,57
5D8Rdb09BkmHscEGSWAlA6,Cold Heart (PNAU Remix),1,79
6E8lxwX7KMAO9nCx4A5tAR,TV,13,72
2G6xRZxWrt9mBXgHclg2i4,I Wanna Help Your Mind,1,56
1KJbUGHHOEQfz3MZM9Qk9E,Foreign Exchange,8,62
0vlxtyaep2FkkVidYC49PA,Pelago,15,64
2diC6yg6Uf2W5eodLX8sMY,La Clase,10,76
1i9flcfwW08i5ynf4YZHsb,Check Out,1,64
4cmu24lnj0NI8lHG6vra6h,Toxic,1,68
1Sp4OvpqqGqGsJbiFj3ICO,Thunder Nights,4,61
5N6REUhO5E2MviBC6thktg,No Clarity,1,60
5q84FQfWp3Q7XnoMlzLRD3,Break It Off,1,59
30ECcjA3lMZPRpdJDyHAnT,If I Was a Cowboy,1,57
6vNXl3IqWlhMUxPKv3R969,The Ballad of Eddie Jabuley,1,59
4ar4zcVlbYDYKgq5wEdq0T,t r a n s p a r e n t s o u l feat. Travis Barker,1,59
1AK6peN1DwvYRXN19cqWoP,Wellerman (Sea Shanty),1,69
3ajAv3GaQivcQyU5JuE8eY,Backslider,15,60
16maAu5lqvFBSEEHyB5GzV,Wild Side (feat. Cardi B),2,63
5ExDI42RCtISkQXAgv8dtZ,Permission to Dance,3,71
6DdM7MRFC9G9BAGANWKQvp,La Vida Es Fría,1,55
6zp8MKrhIwSdZojADmIDim,Sailing Soul(s),16,68
06mk4vdbCFKD3K3sIEpEd6,Run Away High,1,59
0ZjOFfItjIA9YbzhERRIBr,Still Sleep? (Deluxe),25,68
6F2YyORz7NH8jzGutSh4q2,EMPTY DREAMS,1,66
1AZjTOqvw2ZogWZxnDlhEN,Welcome To The Madhouse (Deluxe),20,71
1imBqh217L161tQk9OUeWK,I Feel Fantastic,1,61
6obhr3xfkuIYkwvEukc2y2,Las Dos Caras Del Amor,8,67
5QUwCi1lbk0kZ5k87fRNbK,Chasing After You (with Maren Morris),1,60
1rW4SdSGRziYMzyteohUwP,Straight Outta The Country,8,60
60Od32zDXklGhsYo6ADaPG,Sin City The Mixtape,9,64
5abrKr37SdeemQnTuKewVq,New Home (Slowed),1,61
5OPlgjfJT4M8WNZNtOvUGB,epiphany,14,66
7jainWomsRbTs5dGUOP21C,FRIENDS KEEP SECRETS 2,14,62
5WjaIWthUR3AjA0UYG3jR5,Freaks,1,78
4UDIkdymlERIIdW744hTmY,right here,1,65
65YAjLCn7Jp33nJpOxIPMe,to hell with it,10,80
5KVfexccg4jLnnmbHfJZn0,NUMB,1,64
5h23sIlF1FvjdIdcJofXlI,fue mejor (feat. SZA),1,58
44qqs0b21hn7gAsuTioQkT,This Thing Of Ours,8,60
4zJiUubJvgUJNq0BVD9Mvs,Free Dem Boyz,19,72
3ihwKkIMJWmmp1huNH0iWC,Slime Language 2,23,72
4I7Z9WobmkfZ6lK4nilKJt,Mr.Trouble,1,60
0bfXZQxSJElGATQnCvFSMc,Sunbeam,4,67
5VjgH8wgFP70tarZ6iJChd,Thug Melodies,4,58
0VtWoMZIJp2kyJcbzBJxLO,everything sucks,1,67
0pTj7z7TG1Uu8LT1upuwep,Greed (feat. Lil Yachty),1,56
6w0l7fLsiJTgVAgoxMzBIu,She Likes It (feat. Jake Scott),1,59
6IPrta7kcyyOWTQIJZWz5J,Una Linda Mujer,1,58
3w1Tr9F91XMcsmBJQ8hS7H,Desesperados,1,72
4IGyRFgzpVUXtcFdhUGiLP,DIVE IN! (SPED UP! / SLOWED REVERB!),3,67
4q4rHdKxyCzxuQrPcdjPyC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),1,72
1eVrpJbHRLBbioB9sb5b94,LIVE LIFE FAST,18,70
0ghwCnjmc0QPPccZfYQuXc,Wave of You,1,59
0QB8JzlX70ame6G972aEF1,Mulholland Drive,15,72
6VnfHoGb1PKxRPmjNBmeMf,Mess It Up,1,64
0EKm3aZ46GWhE31rdKY5oj,Like My Father,2,63
4mR99Q1wGLHgzGyCW4UfGT,Bad Dream,1,62
3o5Dz1PLFlYXplnsp5zZxh,Insane,1,68
4aWPCLZWr9gG0ucLIMJavx,Ballads Of The Broken,10,73
4JAvwK4APPArjIsOdGoJXX,The Off-Season,12,81
3mBLmOCKHY1MAOD8fYmffg,Phonkageddon,3,75
57sbdNZpBOb1g2NrqcJ1CT,wasted affairs,1,58
4KTZrjVFSMS2TqNAGVxMfJ,Emily Can't Sing,8,60
4uWN7YSR2HKkNkrlY9HiQP,Stop Draggin' Your Boots,1,58
78f5Iz6Gwjlys2vvmhC3hL,It's A Storm,2,62
3c4oSWcwEGxKYIvl9PsnKP,Self Esteem - #1 Hit (Kisses for Me),1,64
24TL4BB4I6PlLw4Qfc1FVG,Rookie Of The Year,1,57
3nG6F5yVPJubWNP5dp24b2,Hold On To Me,1,59
2upw5IrzeqKApIQZyx5o6r,Beam Me Up Scotty,23,67
3PDjhTtjrjMLcNXjnfykz7,Faded,2,65
21fAzUzwhkiSEHCzhtSC2x,No Vacancy,11,65
0aqGz4Uth6nswnJifY4Cdv,School Rooftop (Intro) [Slowed Down Version],1,60
584aNZB5CF6IXG90Ch28KC,Casita,1,56
4E691gbRgo2Zb6ToII2DWO,Absolutely,12,66
0o1pUhqBO6zq1t0PiWVDSf,Disfruto Lo Malo,1,64
5DVaT8HXcp9bbJh7p4dSpf,Welcome To The Madhouse,14,68
5kcBHP5GH7fsOJLwVfXmx3,HOT DEMON B!TCHES NEAR U ! ! !,1,66
4oQiUHa2cBZiio6H7ONJXE,Drizzle & Shower,2,61
5WWAwbRCM3CyiZNO9rsfWS,"Corridos Bélicos, Vol. 2",18,69
0a0ftVkZr4K1QoOXcZF0V1,Songs & Demos 2015-2017,33,68
26l2ZJWYc3vRHc7dDuT2r8,On The Block,1,54
6N4ySRXQsXl6g9mCr7QPFx,Pain,1,61
5BNrcvfbLyADks4RXPW7VP,Up,1,65
2cydSJJLXu2TtP9VoOnGn4,MACON,15,69
6SeFBqjQUAF0s2JVaoU8eJ,Lotus Rain,3,63
6GsRwYmzOWbrMDXtBUmkCN,Skyscraps,2,65
1b6svBmo0eVcAIfhOSmf71,With A Woman You Love,1,57
5eCmZVM5Kspu2B1cyVdSqq,Ashlyn,14,76
0GjbNjkZ7Bp8rvzU6y8L4w,Inédito,17,75
6PzYuR9c0CYCPJTnqylPhd,Rasputin,1,72
3upu3TUmDtq90LfWIxlQCC,Monastery,1,72
3D9xKfDgJXpGCpaupEg74q,Dying in xxtyle 3,1,57
2iguPTaSTwtx4MiAkj6w5O,Haunted,1,63
0dk1131P27XQgkbt8bbkiU,Rainy Mind,4,69
2y9DFhTWC7QQJMvygK0TzO,Buy Dirt,8,76
0R9QjGSDl6EX4yWu3Rr1eU,Same Truck,12,69
7wfrRI6BAK3b973nWm8mza,Dead n Gone,1,66
2KfndxPOnsZsAWAllEsBfc,La Sinvergüenza,1,69
2npzGBEPDOfVLN8ajYm3pZ,Wars In A Wonderland,8,70
66JuK41D3LpkbX3HCTGcQk,Leave Before You Love Me,1,77
2HYufzr6XUqSurRZdY0D9w,Love Tonight (David Guetta Remix),3,73
1YrACh9xDRGpjrkdWz4MfP,edamame (feat. Rich Brian),1,67
3dlb9Ln4sYzsJEppql4uy4,DANCE!,1,60
4BOqtqeAHmUv4phMH35S4g,"The Occult Series, Vol. 2",7,65
6mBVdi3OYfVGmMiT4jXkYz,Opp Stoppa (feat. 21 Savage),1,59
1PAmNh4VorpJrt4QgfEaHS,Slo-Be Bryant 3,21,66
1hfRW8Q9CbSzVaKCbaFMxB,masquerade,1,66
2TvfE8CY37OQIPVGcWYpEA,Don't Be Shy,1,73
7vus4Q8r5DS2Dl1JClxEsA,Astronaut In The Ocean,1,70
5Z16tpUTnDDwejC6Dvad5r,Si Me Ven,1,64
6gaOMLivdMhiFaTuPqTmgj,Dear August,1,60
0AFaIppKjr2lO1pCjx1wK5,Pick Me Up,4,57
21jF5jlMtzo94wbxmJ18aa,30,12,85
1GuNa6xVjgJIPS0VNll8TR,Misery Meat,1,61
3tY6ZOPhcl9B5HVVhs7GkC,Attracted To You,1,66
3OFuRXFkPOzEZbFp3Os28q,TROUBLED MEMORIES!,2,67
2RrZgDND03MLu6pRJdTkz5,By Your Side,1,58
3OE8gkPLqI9zr3hlEz6ruQ,Tell Em,1,73
3r46DPIQeBQbjvjjV5mXGg,The Melodic Blue,16,82
2Iyw159svPU1i8iNnHDIne,grey cloud,3,76
5YKqfiQdPYWJ0kZ5pttY5o,Build a Bitch,1,67
2phcfZd44niczjY0xybcS6,the highs.,23,69
7aObAFaIOcczMSDnfXz5z6,Goodbye & Good Riddance (Anniversary),18,68
6RQzi0RPigwT6Y75lVTtYv,see you later (ten years),1,62
5YrOK7zze6egKg9a8WRcnD,Where Are You Now,1,79
6rdVcCcUOkf0UbuEm7i5Tu,One Eighty,8,64
06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,12,80
5UthVBNdNdHyqHmSKUlegX,War,7,62
5cqTGnTR7shuPCA2FqyFtR,Move Your Heart,7,64
6Q3iHNU0fOwOxoCvyteue0,The Shave Experiment (Director's Cut),12,62
0kI46dzlikgAVpJ6LdkbJE,INTER SHIBUYA (FERXXO EDITION),24,78
