track_id,track_name,track_popularity,track_sampl,album_id
3cBsEDNhFI9E82vPj3kvi3,Wasted On You,86,https://p.scdn.co/mp3-preview/185a44ab4036da728ee2f90bc0c9e61439f43261?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
2VzCjpKvPB1l1tqLndtAQa,Por las Noches,93,https://p.scdn.co/mp3-preview/ba2f667c373e2d12343ac00b162886caca060c93?cid=f588ee129cec4da4a194ece6210ffab6,6USJaTtVIy0YH5hhzOWVHe
3azJifCSqg9fRij2yKIbWz,The Color Violet,88,https://p.scdn.co/mp3-preview/1d7c627bf549328110519c4bd21ac39d7ca50ea1?cid=f588ee129cec4da4a194ece6210ffab6,5Gm2XKBgnlzd6qTi7LE1z2
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),84,https://p.scdn.co/mp3-preview/85d634aaeb6d71c27f5e83bb713fa5c57eb393c9?cid=f588ee129cec4da4a194ece6210ffab6,3SpBlxme9WbeQdI9kx7KAV
5OELUCYgOHKFAvCERnAvfS,More Than My Hometown,81,https://p.scdn.co/mp3-preview/7db06b5c21f07696536208853657cb5c02d5ecea?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),83,https://p.scdn.co/mp3-preview/376965c332ef1da7f59826c2c12160456e960b8b?cid=f588ee129cec4da4a194ece6210ffab6,3r46DPIQeBQbjvjjV5mXGg
69AIpwGNLxr4qS1X5ynx60,Buy Dirt,82,https://p.scdn.co/mp3-preview/082a6502a654140aef26ae2f693e7124f4edebc3?cid=f588ee129cec4da4a194ece6210ffab6,2y9DFhTWC7QQJMvygK0TzO
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),83,https://p.scdn.co/mp3-preview/ea0ccb0e07adce9579d8afe74dbbf3b0ee781b39?cid=f588ee129cec4da4a194ece6210ffab6,5LuoozUhs2pl3glZeAJl89
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),86,https://p.scdn.co/mp3-preview/eb11d1cbc3babe956721c8292a3c825dbf326bcf?cid=f588ee129cec4da4a194ece6210ffab6,3SpBlxme9WbeQdI9kx7KAV
4h4QlmocP3IuwYEj2j14p8,Sunroof,88,https://p.scdn.co/mp3-preview/605058558fd8d10c420b56c41555e567645d5b60?cid=f588ee129cec4da4a194ece6210ffab6,0VaHnwzDug4AcDkejYDUl5
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,80,https://p.scdn.co/mp3-preview/3b3cfdf33ac2b8279e736257eee368d844dc9d01?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),85,https://p.scdn.co/mp3-preview/57b5f697db04a6f463de366927093882cfd5a00b?cid=f588ee129cec4da4a194ece6210ffab6,6kZ42qRrzov54LcAk4onW9
0mKnuxVkPi5h0kuvZl44VM,Cover Me Up,79,https://p.scdn.co/mp3-preview/9b30d1ba5761f9c5f5c22963d7a3b117d90a3e67?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
7EkWXAI1wn8Ii883ecd9xr,Freaks,86,https://p.scdn.co/mp3-preview/039505c3b40b4478ec45ccb64fed211487887dd0?cid=f588ee129cec4da4a194ece6210ffab6,5WjaIWthUR3AjA0UYG3jR5
3L1JHXiqNOJ57w3n2R3HyU,raining for hours,84,https://p.scdn.co/mp3-preview/0139b848198f349868104b1ec0301418341eb40e?cid=f588ee129cec4da4a194ece6210ffab6,2Iyw159svPU1i8iNnHDIne
4obHzpwGrjoTuZh2DItEMZ,7 Summers,79,https://p.scdn.co/mp3-preview/6d400fdb99199022bec60a9e0f680d5dbe353c9d?cid=f588ee129cec4da4a194ece6210ffab6,6JlCkqkqobGirPsaleJpFr
1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),85,https://p.scdn.co/mp3-preview/88646c27b2aa7389d290a229a6aff6fa240bfec4?cid=f588ee129cec4da4a194ece6210ffab6,5hxKw2PurC0i1VVJMAntDU
4ZtFanR9U6ndgddUvNcjcG,good 4 u,86,https://p.scdn.co/mp3-preview/b842388e0a8bb4c8667f77d645b25fdcd50961c1?cid=f588ee129cec4da4a194ece6210ffab6,6s84u2TUpR3wdUv4NgKA2j
