artist_id,track_id
5cj0lLjcoR7YOSnhnX0Po5,3DarAbFujv6eYNliUTyqtz
7tYKF4w9nC0nq9CsPZTHyP,3DarAbFujv6eYNliUTyqtz
1McMsnEElThX1knmY4oliG,0MMyJUC3WNnFS1lit5pTjk
5H6xmHXjsq98NLbEjuE29f,6f5ExP43esnvdKPddwKXJH
1BEUkE2CSUgHTLSBMZdnFB,6f5ExP43esnvdKPddwKXJH
6AgTAQt8XS6jRWi4sX7w49,6f5ExP43esnvdKPddwKXJH
4q3ewBCX7sLwd24euuV69X,2JPLbjOn0wPCngEot2STUS
6jGMq4yGs7aQzuGsMgVgZR,3J8EOeKLTLXORtWPpOU5bE
4IVAbR2w4JJNJDDRFP3E83,3J8EOeKLTLXORtWPpOU5bE
3TVXtAsR1Inumwj472S9r4,1PDP7mLiAMwhfmgIwzhOm2
1ooV8YZC1KbpEcrmI8WH0F,1PDP7mLiAMwhfmgIwzhOm2
4Ga1P7PMIsmqEZqhYZQgDo,2ZXxRC6V6AXzMdbLQZMHSB
3TVXtAsR1Inumwj472S9r4,0k1WUmIRnG3xU6fvvDVfRG
1RyvyyTE3xzB2ZywiAwp0i,0k1WUmIRnG3xU6fvvDVfRG
50co4Is1HCEo8bhOyUWKpn,0k1WUmIRnG3xU6fvvDVfRG
3qiHUAX7zY4Qnjx8TNUzVx,4VHkjPgAis9JNfc1URn7zZ
2tIP7SsRs7vjIcLrU85W8J,567e29TDzLwZwfDuEpGTwo
1uNFoZAHBGtllmzznpCI3s,567e29TDzLwZwfDuEpGTwo
06HL4z0CvFAxyc27GXpf02,3zwMVvkBe2qIKDObWgXw4N
6PH3FLQAxtqYy46Zv08bpV,6G2xXQRSZlEzYsUEb3uvuR
2VDZoCBGjxbHJbnzSX5nP6,4NgherJDfCXWBZBYheM4jK
4oUHIQIBe0LHzYfvXNW4QM,42lqBjPYlmL1EXpMDXvhSN
