album_id,album_artists_id
1DKgZeAYrjslAPZVMe6EFt,7cVZApDoQZpS447nHTsNqu
3bqEvlGHE4amqPGZtdMnep,49HlOY4gkHqsYG9GCuhkcc
3zjKITMp5FHj5aqtWWXrxH,1mcTU81TzQhprhouKaTkpq
69p42ovQdwmYPLUsAQpeNn,3uwAm6vQy7kWPS2bciKWx9
0Q5XBpCYFgUWiG9DUWyAmJ,3YQKmKGau1PzlVlkL1iodx
4Xnlm5GHBeoAGA6SUHrDFr,39xSFVoeHPX87DYQWe6z3y
0w1dwXfG5z6Xjjgj524JkD,1uNFoZAHBGtllmzznpCI3s
5SKnXCvB4fcGSZu32o3LRY,4LLpKhyESsyAXpc4laK94U
4UP2s4n7nyzHPYpNh7qfH4,7eEiDNxx0ZlaXHkn74qOrM
4Dn7V8EU84yPMe03MsefyU,5F1aAS1duwlzExnPs3l2Xe
4uLn2Ci7bNaHSZ0tBHYlxt,4pfy05cNNTacuOQ6SiSu4v
4l58JlPq72gOA4veRxboVR,5Bw9kFNhy019e4IBCJZlzw
4l58JlPq72gOA4veRxboVR,0Y6dVaC9DZtPNH4591M42W
3og8X1LYiVq3nPdMxpM9Wb,6zLBxLdl60ekBLpawtT63I
6kPeskyrkdkWT3xFYx9kvb,4jogXSSvlyMkODGSZ2wc2P
6kPeskyrkdkWT3xFYx9kvb,4tm8CEdm4pkQsEh4jIr9Yp
6kPeskyrkdkWT3xFYx9kvb,6kPf6aO5cAHU2RJUDN1UUy
4N8qhDeqx8AHoEhMnYEC2Y,1FtBEIWAwvw5ymBen5GICR
2wcv0lHk5fUYyNGKugGa7q,5H6xmHXjsq98NLbEjuE29f
2wcv0lHk5fUYyNGKugGa7q,1BEUkE2CSUgHTLSBMZdnFB
6f2fSCVZvFScRgppc1MTVv,7tje8UB3cuR1ZfeJx2U38T
5uQt9PVJIZvYjOL43EkOId,7HjGPPtdNuHcK8crc7iNkn
4zxSM7n57ny7FztFtjSj7n,71szvmFWd7TUa7b6XmXj9k
1FsFHXroF1ILBdVyBRMt3A,6Xgp2XMz1fhVYe7i6yNAax
1FsFHXroF1ILBdVyBRMt3A,699OTQXzgjhIYAHMy9RyPD
4OyzQQJHEfKXRfyN4QyLR7,1CbA4z6JauNQnHzOErDQL6
2WmJ5wp5wKBlIJE6FDAIBJ,4Gso3d4CscCijv0lmajZWs
2PIReru2w5i4JXOzeZnamd,7nqOGRxlXj7N2JYbgNEjYH
0mPKxIXNf7okZAFkCTMZlV,1muzcpVFKmKSrT7rVNAwBB
2Zd7deeqEMClIaUCo19aIc,5SyGEPymt1G2uto47tVWvZ
6CvBb1XqN0igtQrWrbXD80,5f7VJjfbwm532GiveGC0ZK
6CvBb1XqN0igtQrWrbXD80,3hcs9uc56yIGFCSy9leWe7
5lwUnuV4PJekfTcYIbkq6a,4sIl4BTo9l9KqEi0Y3RE72
0c6lcJKUnuBj8qtwZDgXpw,3Z7sI9OvtPJDAtjrZQKIAE
6AeF9IkXFpHz5H3wUNX3L3,06HL4z0CvFAxyc27GXpf02
4y50i4pFfW9v9vAvxuLFBw,7MbxdnkfBJ2STy1K8VzbzJ
56meo2KJ9tRlaGUHSGfTpP,7okSU80WTrn4LXlyXYbX3P
4eyBviSES0CZjUaipdnHku,12j6dJrPXanCBwY599pZxf
7F9yYqHRtIZnEGF2tANI4b,7jZM5w05mGhw6wTB1okhD9
7F9yYqHRtIZnEGF2tANI4b,0u6GtibW46tFX7koQ6uNJZ
7F9yYqHRtIZnEGF2tANI4b,5Wg2b4Mp42gicxEeDNawf7
3hFObbQaeADDqmUJM6BXlQ,1UyzP6admqk7jIIgedlD4B
6N9oICOUm4QT2YpWdKwUlu,4r63FhuTkUYltbVAg5TQnk
6SEeNB2xGW1kmysKSvWYqC,0Njy6yR9LykNKYg9yE23QN
6SEeNB2xGW1kmysKSvWYqC,1RyvyyTE3xzB2ZywiAwp0i
6SEeNB2xGW1kmysKSvWYqC,5f7VJjfbwm532GiveGC0ZK
6JlCkqkqobGirPsaleJpFr,4oUHIQIBe0LHzYfvXNW4QM
2oyN9nzl627l8ZeovPo46F,7wlFDEWiM5OoIAt8RSli8b
2oyN9nzl627l8ZeovPo46F,35sCXuy5gN6Or69rZ9vqBs
5x7JzoE4A3DwwU6FPt8qws,04gDigrS5kc9YWfZHwBETP
3uW306euM0l6tAJpae90LS,7GcVOOrldYLwxGrCkELOno
5YFrFIwYuNxdYIA0I0qFy1,6QgOGgahvXBHEEzpjbDsOj
35UOSWUudVMViGWMUXiNQC,7tFehEdzjjoeiwUExR89qs
5gdgH8d7W2KwkK03Ea0vpi,4GGfAshSkqoxpZdoaHm7ky
5gdgH8d7W2KwkK03Ea0vpi,4oUHIQIBe0LHzYfvXNW4QM
2ZaFqYD9a3U6qJhyS2LDRf,4utLUGcTvOJFr6aqIJtYWV
2ZaFqYD9a3U6qJhyS2LDRf,6AgTAQt8XS6jRWi4sX7w49
2ZaFqYD9a3U6qJhyS2LDRf,7dGJo4pcD2V6oG8kP0tJRR
538BxdI7oOQykSkEtyjhUD,66W9LaWS0DPdL7Sz8iYGYe
5hy25TSUbMLRjGzyQp0FMR,1bgpRrszIfYOXgzXcR02jP
0XCoR1j5Sa2su9uDS9AScR,06HL4z0CvFAxyc27GXpf02
7wHczdY0ek3FHnfVhk10om,3PhoLpVuITZKcymswpck5b
3i5LIueVgxjgCu1TIZOraP,2kucQ9jQwuD8jWdtR9Ef38
7gEGuvkVs79hY4tG7OYnzx,181bsRPaVXVlUKXrxwZfHK
2wwCc6fcyhp1tfY3J6Javr,00FQb4jTyendYWaN8pK0wa
4U0en0trmZzCyst9IvCvDA,7zVXfjqG8yM5gVp8WLab5s
5uL2IYw4ub2PuWRIESxwzd,7EOpIcFOVG2PedJgVbCHJ2
5uL2IYw4ub2PuWRIESxwzd,6ElqtIfQsAkEYypgfJIjeK
5r8T7S23cVDSd7a045h4N5,0Q8NcsJwoCbZOHHW63su5S
5itVTi6rI3MlOcWBxROxd9,4AVFqumd2ogHFlRbKIjp1t
5itVTi6rI3MlOcWBxROxd9,6jJ0s89eD6GaHleKKya26X
28wKxlJocWCrrxUgYC2zEQ,1A9o3Ljt67pFZ89YtPPL5X
0zwSEVp17wHbivhkBSHJY6,5yw4tA8D5uG7tT3NaDvq10
3G0b8ob9anYQl8a1t3GpOF,0XFgyr4jwM0MGeZZW0VzA5
1ecaLnHZm8kr5Eu63Xw6UU,3tqosLbNFNekyZyO2KJ6qd
1hJUh5y1ggqqGsCivnRmHw,7tYKF4w9nC0nq9CsPZTHyP
7LlTjovytMWtPVHm7cJku2,2LRoIwlKmHjgvigdNGBHNo
7LlTjovytMWtPVHm7cJku2,790FomKkXshlbRYZFtlgla
5aSofcF0U90UxJaDr62r6X,0Njy6yR9LykNKYg9yE23QN
5aSofcF0U90UxJaDr62r6X,3hcs9uc56yIGFCSy9leWe7
5aSofcF0U90UxJaDr62r6X,1URnnhqYAYcrqrcwql10ft
01mFXTbIelBrBEs8Hw3QbI,7HTLVyjNf0VRxfIgNcfRRH
2Nt6MDJXfoxQ22tIQgWXIh,1mcTU81TzQhprhouKaTkpq
2uXE0PE2nWgjXDV6nZi1l0,3V0ZQW0dNuVaFtbVYgSI24
5LuoozUhs2pl3glZeAJl89,3TVXtAsR1Inumwj472S9r4
58MbYehGOl5NAOdfWY5aHa,3MdXrJWsbVzdn6fe5JYkSQ
0DqDdZGSQkWQiE0TzBqeLA,6cK3NBO6uP7hh0oyuVELFl
5vkFV8CLrYIXm5ag9bwdto,4r6joVLgbTD7M07z1KIooA
00rNMpiSdqmVWMmQsahNTo,5pyVHz7lcfqKoV9BflFYwN
1KBoH5xsMCXPuVsZMORvtO,7pwufEBGfggjoI8twqlsmQ
1KBoH5xsMCXPuVsZMORvtO,6Y64EaNqpqcZYTgs4c76gF
3apQZbgVql9mHJlp43jk5D,5hKGLu4Ik88FzWcTPhWNTN
