artist_id,artist_name,artist_popularity,artist_followers
5yy76ufVriyvidNSvXlRU1,Clever,60,72330
716NhGYqD1jl2wI1Qkgq36,Bizarrap,85,10629263
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,79,12416476
34me8hAxavRmcDIwhxa3b7,Dent May,61,32983
0bAsR2unSRpn6BQPEnNlZm,Aimer,69,2228819
5bSfBBCxY8QAk4Pifveisz,La Arrolladora Banda El Limón De Rene Camacho,74,6028753
40cMQJtnfUdWW2OY6wvCt2,Elvia,36,6908
6CHFq8hiVCpHsNKsP2aMw2,Tripstar,35,4227
2I80te5uIPCn0LeEtWE34Q,Fat Bub,10,1
17lzZA2AlOHwCwFALHttmp,2 Chainz,76,7818478
6AcOTCYBMvjKYy4zms0kaC,Banda El Recodo,72,3461611
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,87,19476069
4fpwOzxFRMVGfd197dKIdY,Boldy James,63,135472
0lFLP59V4TY3XgnrkFIwxK,Katja Krasavice,56,398663
2VDZoCBGjxbHJbnzSX5nP6,Kxllswxtch,70,167844
4sIl4BTo9l9KqEi0Y3RE72,Carly Pearce,63,311543
7fexYDMRWxJ25mYGdblXWW,NICOLOSI,27,2307
2mJLFoa2cRqCZHL6MZNaak,Germán Montero,52,975681
5y2Xq6xcjJb2jVM54GHK3t,John Legend,76,6472805
5cdrxr9s52oZCf78xOLa4R,Tee,48,2913
6GaslxycqT27V8q2H3yZ7x,Little Ricky ZR3,34,9332
7ptKmOHE9L97uI1uxCdZLB,Garrett Raff,31,513
4o0NtnL2m0lzZmEdRas1qv,Ovi,71,968188
0LWHFUzXPTl9BDdJHDE001,hoshie star,59,46485
5phOCTS0ZqbZGVXdpG6rLu,Jeff Bhasker,34,6765
1u9z4r9MRMjVc4t2bI2z4W,Adio,52,159
3ROTuxpbVooOYY7OanW7No,X-Raided,41,114389
4tm8CEdm4pkQsEh4jIr9Yp,Santa Fe Klan,77,7805867
2TcGJdSOiOvITBzhvfX8XB,Shouse,70,117203
5d1JhBfyb58upMXCZOdbQu,Phil Wickham,65,714803
5xkFVS6IwwgHEAaRzXc9U3,Tay Keith,58,38675
2wJ4vsxWd7df7dRU4KcoDe,Sharon Van Etten,56,488047
3eCd0TZrBPm2n9cDG6yWfF,DEAN,61,1331240
6QMABvTzixnxzsLYyhqRxI,Majestic,64,51537
49HlOY4gkHqsYG9GCuhkcc,Celeste,61,419484
7fzgNgRW6BU64sSRRNNkN5,Boona,13,124
6hfwwpXqZPRC9CsKI7qtv1,Alina Baraz,66,1309304
4Gso3d4CscCijv0lmajZWs,Don Toliver,84,2866567
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,78,7966311
107CG0UhUl9GJnPwF83N63,UPPERROOM,63,247583
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,86,3618754
