track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
02VBYrHfVwfEWXk5DXyf0T,0.586,0.616,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088,242096,83
0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,-6.334,0.116,0.198,0.0,0.0614,0.699,163.929,173160,83
4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,140533,83
0k4d5YPDr1r7FX77VdqWez,0.828,0.621,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,83
6mmPpaltUZK7xjNlBPQQ0p,0.869,0.694,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,83
20on25jryn53hWghthWWW3,0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,83
65OVbaJR5O1RmwOQx0875b,0.578,0.449,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,83
1r9xUipOqoNwggBpENDsvJ,0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,173381,83
18asYwWugKjjsihZ0YvRxO,0.754,0.763,-4.627,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,83
5RBOcBpJXaNnHCGViJmYhh,0.485,0.89,-5.992,0.0911,0.000872,0.818,0.102,0.258,128.881,194423,82
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,-6.509,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,82
18vXApRmJSgQ6wG2ll9AOg,0.789,0.536,-6.862,0.242,0.41,0.0,0.129,0.437,81.039,165926,82
4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,-5.865,0.187,0.492,0.0,0.12,0.638,80.511,123987,82
4S4QJfBGGrC8jRIjJHf1Ka,0.829,0.617,-8.497,0.14,0.227,0.00306,0.0618,0.81,125.605,98544,82
69AIpwGNLxr4qS1X5ynx60,0.586,0.559,-6.725,0.05,0.639,0.0,0.0872,0.437,177.945,167480,82
4NgherJDfCXWBZBYheM4jK,0.627,0.123,-14.411,0.0316,0.859,0.00105,0.149,0.11,131.883,120429,82
3CeCwYWvdfXbZLXFhBrbnf,0.626,0.79,-4.302,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,235767,82
4OwhwvKESFtuu06dTgct7i,0.75,0.522,-7.018,0.0293,0.282,0.0,0.0743,0.601,110.427,321556,82
3DarAbFujv6eYNliUTyqtz,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,82
4cktbXiXOapiLBMprHFErI,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,91.05,189486,82
5ajjAnNRh8bxFvaVHzpPjh,0.386,0.426,-6.642,0.0363,0.807,0.0,0.14,0.261,180.104,203385,82
5r43qanLhUCdBj8HN3fa6B,0.697,0.875,-4.621,0.034,0.137,0.0,0.28,0.774,140.069,163855,82
0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,-3.825,0.0808,0.0673,0.00111,0.0849,0.312,159.488,195121,82
1SC5rEoYDGUK4NfG82494W,0.593,0.503,-6.725,0.22,0.293,0.0,0.405,0.71,178.781,137704,82
6huNf4dutXRjJyGn7f5BPS,0.732,0.678,-4.977,0.0886,0.0867,2.41e-05,0.112,0.196,100.626,211421,81
2USlegnFJLrVLpoVfPimKB,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,81
6GomT970rCOkKAyyrwJeZi,0.848,0.821,-5.408,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,81
3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,-3.906,0.046,0.091,0.0,0.0264,0.55,88.098,225149,81
34lfu3S4fIcKZRNXzbdbo7,0.822,0.981,-1.321,0.109,0.000593,0.748,0.0938,0.404,115.005,133565,81
5OELUCYgOHKFAvCERnAvfS,0.62,0.869,-5.479,0.0462,0.615,0.0,0.131,0.597,126.019,216573,81
5zFglKYiknIxks8geR8rcL,0.713,0.676,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048,227395,81
2vmfvSoZBFAt9hhRoEByLi,0.725,0.86,-3.726,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,81
32BeYxKPrig1LefHsC0Xuo,0.334,0.599,-5.742,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444,81
5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,-7.846,0.0379,0.418,0.0,0.124,0.808,124.917,162803,81
4fSIb4hdOQ151TILNsSEaF,0.78,0.718,-3.605,0.0506,0.31,0.000163,0.0932,0.342,127.949,199604,81
7hU3IHwjX150XLoTVmjD0q,0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,81
186NCtNk1tUYS7c2DxgJ7O,0.437,0.384,-8.384,0.042,0.699,2.33e-05,0.121,0.181,139.009,209947,81
4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,81
7nc7mlSdWYeFom84zZ8Wr8,0.672,0.717,-7.476,0.226,0.103,0.0,0.398,0.473,157.905,180380,81
3J8EOeKLTLXORtWPpOU5bE,0.907,0.393,-7.636,0.0539,0.451,1.35e-06,0.135,0.202,104.949,205458,81
6YvqWjhGD8mB5QXcbcUKtx,0.627,0.792,-4.311,0.031,0.13,3.97e-06,0.0845,0.415,119.054,235767,81
1D3z6HTiQsNmZxjl7F7eoG,0.597,0.587,-7.026,0.137,0.0622,0.0,0.214,0.0753,140.021,218802,81
7BbaIYAdi3pg4MGl6PHwPv,0.693,0.575,-7.633,0.0906,0.121,0.0,0.104,0.353,138.016,160052,81
2prnn41CblB8B4yWACDljP,0.621,0.989,-4.225,0.0434,0.015,0.357,0.184,0.0348,126.002,158095,81
0mKnuxVkPi5h0kuvZl44VM,0.549,0.44,-8.192,0.0264,0.232,7.37e-06,0.107,0.214,128.01,293707,80
3EG9FJ0ToLfgnc1IG2Z1wz,0.468,0.652,-4.912,0.0722,0.333,0.000318,0.55,0.39,140.223,588139,80
748mdHapucXQri7IAO8yFK,0.762,0.701,-3.541,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,80
77sMIMlNaSURUAXq5coCxE,0.569,0.741,-4.963,0.0282,0.0122,0.0,0.333,0.43,100.118,241592,80
0uRrG2jRR5tuifsYIJHEao,0.403,0.537,-6.628,0.031,0.59,0.0,0.112,0.414,69.877,202133,80
6ZOcbKub95XSDESsKKuH41,0.869,0.694,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,80
5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,-7.395,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,80
6f5ExP43esnvdKPddwKXJH,0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,80
5lAnYvAIkSDNXqfo7DyFUm,0.855,0.488,-4.601,0.208,0.506,0.0,0.347,0.619,124.097,174253,80
3zwMVvkBe2qIKDObWgXw4N,0.581,0.619,-6.524,0.0282,0.769,0.000106,0.117,0.645,137.915,245027,80
0dGqP4VickYjtIaB5VOt4H,0.451,0.627,-4.59,0.127,0.591,0.00958,0.118,0.77,74.69,184000,80
0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210,80
1PDP7mLiAMwhfmgIwzhOm2,0.476,0.161,-11.665,0.0407,0.967,0.0381,0.109,0.0908,119.614,133763,80
6nqdgUTiWt4JbABDurkxMI,0.615,0.521,-9.488,0.0318,0.146,0.772,0.11,0.045,115.016,171385,80
0G2zPzWqVjR68iNPmx2TBe,0.659,0.688,-4.649,0.0673,0.207,0.0,0.113,0.632,153.979,273474,80
5YqltLsjdqFtvqE7Nrysvs,0.567,0.686,-6.139,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,193147,80
4HzqWEdAbzcVFDv0pvxV4w,0.762,0.77,-2.758,0.223,0.138,0.0,0.15,0.631,177.998,201181,80
