album_track,track_name,album_id,album_name,RPG,공포,로그라이크,배틀로얄,생존,스토리,스포츠,슈팅,시뮬레이션,액션,어드벤쳐,잠입,전략,퍼즐,플랫포머,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
5uODHxCoTuirCnk0oEYyYv,19.06,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.483,0.625,-2.465,0.0289,0.621,0.813,0.0793,0.0588,153.14,75294,39
445Tdyge4wC6Qr7wosq5OY,19.07,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.503,0.83,-0.628,0.035,0.782,0.948,0.0817,0.155,153.055,75294,48
11gkYPiJmBqKyXstgFmgAX,Wyverndale's Theme,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.315,0.416,-12.034,0.031,0.00136,0.0966,0.0803,0.111,114.013,250259,33
0ZHPvPGJ9UsrVWlTEcvpVn,Fugacious Hope,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.519,0.741,-10.464,0.0414,0.000135,0.609,0.278,0.0909,133.068,73329,24
74kOPy7LnzmsC2N5dJKjDI,Bards of Wyverndale,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.289,-14.772,0.0612,0.967,0.246,0.0662,0.295,120.028,53674,11
0is2WfilJJLuH0vVY66HS9,Peace Is Poison,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.133,0.483,-11.292,0.0426,0.00695,0.914,0.119,0.0354,146.412,253961,14
47GmD2g1aQ8QG5TGS5cxC4,We Are War,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.369,0.691,-8.529,0.0399,1.98e-06,0.91,0.342,0.16,150.349,64729,19
25soVt58KGoy93coV4BMV3,Aria of Rebellion,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.159,0.528,-13.665,0.0458,0.00279,0.889,0.111,0.0749,147.981,257685,11
2gVeLf236tEYQ6QPHSPlWl,All That Resists,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.531,0.526,-12.691,0.0433,0.00956,0.838,0.386,0.399,147.985,80594,15
1jPNVAphBYatS0kInPUBVN,The Great Reckoning,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.329,0.437,-13.651,0.0349,0.0236,0.927,0.0812,0.0403,129.913,235327,11
2M7R8NiLoy1yvDwHp6UY8M,Severed Horizons,2wD6ibumlAybToO5Mpy9pK,A Plague Tale: Innocence (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.476,0.641,-12.736,0.0339,0.00578,0.857,0.292,0.104,130.002,71362,15
0FtGY03shmZn7uoB0bJrn3,Doomsday,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.152,0.291,-15.288,0.0442,0.624,0.792,0.119,0.0392,91.846,196200,4
6NWga8PuAhrLGYZmR9Zf6N,And the Fewlocks Howled,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.189,-22.753,0.0385,0.754,0.618,0.128,0.0383,137.042,82623,3
4ytV0XWAhBD9eZKsFmZcNo,Huzzah - Still Wondering What If,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.438,0.591,-7.617,0.0692,0.858,4.53e-06,0.366,0.231,72.703,75487,7
2gjvZ4VRPFXKyW1yYlnafE,Bbq Thursday,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.851,0.351,-18.194,0.067,0.369,0.934,0.195,0.951,119.955,48000,7
6LE78ViqvPs1N1VThP0r8C,Chasing the Pink Elephant,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.448,0.145,-22.561,0.0364,0.586,0.813,0.427,0.151,170.644,137692,3
5CCS8l2UL9WYU5Mmw7YtN1,Rudi's Dental Work Went Wrong,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.805,0.379,-18.62,0.0905,0.208,0.828,0.109,0.866,113.946,50522,7
0ELU29Z5Za8Fh6XksrMBSJ,Elysium Falling,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.232,0.331,-15.358,0.0454,0.299,0.872,0.333,0.133,136.37,102507,2
2EqpVs4MPxYxNiChbfjz0x,Promenading the Chill-Out Zone,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.276,0.234,-16.382,0.0326,0.642,0.92,0.184,0.0375,71.145,253689,5
6phb1woE5uGCbz2rELWP3S,Fun Fun Fun,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.792,0.437,-10.82,0.0502,0.0269,0.89,0.126,0.971,135.765,91904,5
38NXkRvJXLyky3jscVlNNY,The Broken Fair of Prophecies,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.202,0.259,-16.328,0.0364,0.873,0.125,0.116,0.155,170.177,118588,3
1HHb9oQK9bCPD5MgplcNpr,Tunnel of Love,5Yzbew7AnCrYDAD0fPkT3T,A Plague Tale: Requiem (Original Soundtrack),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44,0.0475,-21.791,0.029,0.831,0.973,0.111,0.342,94.66,37242,2
