album_id,album_name,album_tracks
4aWPCLZWr9gG0ucLIMJavx,Ballads Of The Broken,"['67zLByRJnWEBgInykFoV5D', '4vc0pPTHqWIErEs8juvlyv', '25VQoiuyc0HkC5FQTj1a8G', '3ZimQXLwfwW5YZpQmPTwLb', '18YfNtWErYNTNFjNutH6vD', '0ZgU5iu6Hzw8eqHkO18cEH', '4uUG2s17XL9OREgUk6KPJ8', '3Lpx3d5f0FXuCbbS5wThgR', '63OIFPBiscPdinuQQ70Lxy', '5gBkgupFicGzDUS6y9WqOo']"
5uQt9PVJIZvYjOL43EkOId,Coyote Cry,"['1XsUBzfpNsho6etkFNLcpR', '6ArYYQLIE72oFHGYcZ0fhW', '22FmhVuD9a7pk77AegyJPZ', '1taYxfSaD0sVhiUHu2ESfd', '7nERlpaH7QghaO7jC60Xtu', '16ZZtfUPm7nuyjeecRckZl', '6iiopD7mdfsxicpU3P9QVn', '5fnCzzKbfxuSPQrSktoI2k', '1G6gNRws85l7XviMk3qFdg', '3VhfxBlRkkvPLi9zT17NXw']"
2T9P5dSm786uuxA5tkI1Xb,Country Squire,"['1bp2PcwZgR9LwBdoERsOuJ', '6udNiH5Fdr1N8RQAdU2gVF', '0113kB5PUEGvDHVBopCuTo', '4eWV7VdatatMHWLt5ilzVZ', '1RJyToUKkGSEfJjavJHSsF', '3R6c8mU0KUlUvEin4cJ2OJ', '2c1CzDmWWVBgJezXfFDmJC', '0fCwTrRNfoNk962ati8n2K', '10W8eYYfSEgq6aTU3dkWkw']"
6ecx4OFG0nlUMqAi9OXQER,Smoke + Mirrors (Deluxe),"['7odsUFDiJVv0HUQuSYsRbT', '3pgDkYNYH7hMCl5Njib24j', '5w5NylxR2K71isn84raTZh', '68hC01gNja5yqY5JCkV82E', '1CQXNBt6zv15L8zDITcxRB', '6Ng999MKVY9ikd8FtGaNnz', '64ETHwzBLaBTGuKY55K1Kc', '0rKlNsNmGGKGXo6tDgkHEn', '5pryXvaRTif60GCf1e4rmc', '6JsePoT1VWserj2YIUu0hE', '5dvDAORqUH5xoO8bfv0hlG', '5ygTySvimUjWJk9WLgMDCn', '4Nwanvqzx02WpDxtYHS0lT', '2Q4OrJV7rGtUpPsLGbchgr', '4DRQBzgiM3SQqO5bXXPGpb', '6FQcdl2PzmsoXRF3F1flZ5', '3ubpkIvw8SDchaRPEKIQPS', '1lgN0A2Vki2FTON5PYq42m', '3KgIZWuC7JJOgkcGeAWbZg', '2Xaw1RrXP3mdooKWysuRJ8', '2x2SotEkKozaFh6H1aVnOZ']"
5eKuModdAdZRmc51241r4D,"Hi, It's Me","['2QClD0hEJbn3BmqUtwzuWs', '6bqMJNzgbE1dAAH8Sokt49', '6qNB2ChCVPepl5ZjVJJTUW', '7g7w2WUpLcqsqH2M9XR7ZF', '5RF0OIruwV8VFFCGzf8sYq']"
4makbOuLd5SUdyHMaNM1Ag,Metamodern Sounds in Country Music,"['4NE3oWyUQI2b2NjyMyC8Bi', '7oop0Rsh4jhdOtglVL3Dmf', '2eD05M0sROqhQpkQJ9ze8x', '7e8KTrlIt6SeImB3vM98ZF', '40Xg69oisdpuP4C7xl3RkK', '6OV4CbPHRtbqrpJrbEFJfi', '0622Y9gelxWauDWwd5ZmSU', '0e4GxC1u8gzQ98RrbQTiCn', '69Rgsy7NjASkqeJUwEGsv6', '67Nplzu0xrOz1BD56gx8ho']"
5tdGgaiW18D6bjHFLhtblL,Camelot,['4sWuPniHClkInYAnzXAYUF']
2tOUqvQ76XbBPUxjNmrK3j,223,"['4k6ObrrBSmfuGJ6nIGiSRk', '3KPKw6GllxFAtscA3ERm6u', '0wAsLicTab4sTdmsgl19Aw', '09q5Pfb9ZhdbFUqHVYNKWO', '1YCN93PHuv4dgvo280MrCn', '0umaBdqRipNy3regKYtspl', '3MIyRihTjebAmoIdbuCuW2', '29C3Z6iVhlurPAWifEi2RO', '4aHQL2C5JlYuIYj9GjEyZ3', '0UfrFj0WPEBhLelRWy779m', '6TKXQ7PZccz155eJ9mrOnF', '3sSfseq5XmWXubkfQUfmYh', '3OZl9AUYsSmHWLcGREICIv', '21jeaEFaaSWHD5qUVgb2sp']"
7jomGVik8nyxBGpIMSCnRd,Al Estilo Rancheron,"['0G1D3gX48Y56yKMQB5Q1UJ', '5X1fOMurUPOobZJj95NDef', '0PQlZtRSRcB1vTbq7TsmwI', '1GmqZP4DB7qi0MEMbdiHac', '2oJCZJAyJgW6tfPTER8nYJ', '5bgYQOhOOWCnc2VzD3za4P', '6ePDQgVV50fTS3HUwXiToP', '4mbQrvmN8unsDdC08gCgXz', '53PoPAD389bBE4ePYuT95g', '7t4dfipkqKmvjxso1kVQje', '5nSYuxUFQr91UBUHxJOKNd', '6xZYM7RdodojOCUwGg8IlP', '0kMqTPYRI8ijzrqr0lZx9v', '4SuQn8MMB58gyuWppa1vNZ']"
0F7ftNMhjvUDyDpWklGStR,Fly Away,['0hTrQoqDmFnA4S1PC265e1']
